gloss_sequence,vietnamese_sentence
nam co_giao bi di_ung,Năm cô giáo bị dị ứng.
hom_qua ong dang viet,Hôm qua ông đang viết.
toi_nay bo se di cho,Tối nay bố sẽ đi chợ.
bo can tivi,Bố cần ti vi.
em thich rau,Em thích rau.
thu_tu bo dang doc_sach,Thứ tư bố đang đọc sách.
bo bi dau_bung nen can nuoc,Bố bị đau bụng nên cần nước.
anh can mot_tram sach,Anh cần một trăm sách.
co muon di lop_hoc,Cô muốn đi lớp học.
ngay chung_toi dang ngu,Ngày chúng tôi đang ngủ.
mua_dong bo nghi,Mùa đông bố nghỉ.
buoi_trua nguoi_khiem_thinh dang an,Buổi trưa người khiếm thính đang ăn.
ban can sac_pin,Bạn cần sạc pin.
bay_gio ba ngu,Bây giờ bà ngủ.
thu_hai me nghi,Thứ hai mẹ nghỉ.
ban_be dang nghi,Bạn bè đang nghỉ.
toi_nay thay_giao dang di_cho,Tối nay thầy giáo đang đi chợ.
em bi dau_bung nen can com,Em bị đau bụng nên cần cơm.
buoi_chieu ban se di nha_thuoc,Buổi chiều bạn sẽ đi nhà thuốc.
buoi_sang anh bi dau_lung,Buổi sáng anh bị đau lưng.
toi di phong,Tôi đi phòng.
mua_dong nguoi_khiem_thinh dang di_cho,Mùa đông người khiếm thính đang đi chợ.
vui_long dua goi_bac_si cho toi,Vui lòng đưa gọi bác sĩ cho tôi.
ngay_mai ban se di benh_vien,Ngày mai bạn sẽ đi bệnh viện.
ban muon tam den,Bạn muốn tám đèn.
me can chin ban_phim,Mẹ cần chín bàn phím.
nguoi_khiem_thinh di truong,Người khiếm thính đi trường.
ong can sau vo,Ông cần sáu vở.
nam bo bi dau_lung,Năm bố bị đau lưng.
me can ba_muoi com,Mẹ cần ba mươi cơm.
mua_dong bo bi di_ung,Mùa đông bố bị dị ứng.
mua_dong bo dang noi,Mùa đông bố đang nói.
me can nam bun,Mẹ cần năm bún.
thu_bay em bi di_ung,Thứ bảy em bị dị ứng.
chung_toi muon ban_do,Chúng tôi muốn bản đồ.
thang me an,Tháng mẹ ăn.
thu_hai am_uot,Thứ hai ẩm ướt.
nguoi_khiem_thinh can sua khong,Người khiếm thính có cần sữa không?
co muon ca_phe,Cô muốn cà phê.
thu_ba chi bi dau_chan,Thứ ba chị bị đau chân.
mua_he chi bi buon_non,Mùa hè chị bị buồn nôn.
thu_nam thay_giao dang ngu,Thứ năm thầy giáo đang ngủ.
ngay_mai chung_toi dang viet,Ngày mai chúng tôi đang viết.
quan mau_nau,Quần màu nâu.
ngay_mai ba bi bi_thuong,Ngày mai bà bị bị thương.
ong muon nam tivi,Ông muốn năm ti vi.
ngay_mai chung_toi dang tap_the_duc,Ngày mai chúng tôi đang tập thể dục.
ngay con_gai bi chong_mat,Ngày con gái bị chóng mặt.
ong muon banh_mi o nha_thuoc,Ông muốn bánh mì ở nhà thuốc.
hom_nay anh dang di_hoc,Hôm nay anh đang đi học.
lam_on goi thuc_an giup toi,Làm ơn gọi thức ăn giúp tôi.
bo can muoi vo,Bố cần mười vở.
buoi_toi ba bi dau_chan,Buổi tối bà bị đau chân.
mua_he toi bi bi_thuong,Mùa hè tôi bị bị thương.
me muon ba_muoi bun,Mẹ muốn ba mươi bún.
nam bo bi sot,Năm bố bị sốt.
thu_ba anh an,Thứ ba anh ăn.
co can chao khong,Cô có cần cháo không?
hom_qua toi nghi,Hôm qua tôi nghỉ.
thang co_giao nghe,Tháng cô giáo nghe.
bo dang tam,Bố đang tắm.
thu_nam ban bi ho,Thứ năm bạn bị ho.
buoi_chieu co bi dau_tay,Buổi chiều cô bị đau tay.
hom_nay toi bi ho,Hôm nay tôi bị ho.
thu_bay ong bi dau_bung,Thứ bảy ông bị đau bụng.
buoi_toi con_trai dang viet,Buổi tối con trai đang viết.
buoi_sang ong noi,Buổi sáng ông nói.
buoi_toi em bi sot,Buổi tối em bị sốt.
co can rau khong,Cô có cần rau không?
mua_dong toi bi dau_lung,Mùa đông tôi bị đau lưng.
buoi_chieu ban bi dau_hong,Buổi chiều bạn bị đau họng.
me bi sot nen can nghi_ngoi,Mẹ bị sốt nên cần nghỉ ngơi.
thu_sau anh bi dau_hong,Thứ sáu anh bị đau họng.
buoi_chieu ong ngu,Buổi chiều ông ngủ.
chi can thit,Chị cần thịt.
con_trai can cua,Con trai cần cửa.
mua_dong nguoi_khiem_thinh dang di_hoc,Mùa đông người khiếm thính đang đi học.
mua_he con_trai bi sot,Mùa hè con trai bị sốt.
mua_dong ba dang noi,Mùa đông bà đang nói.
toi can tam may_tinh,Tôi cần tám máy tính.
toi muon chao,Tôi muốn cháo.
buoi_chieu co hoc_bai,Buổi chiều cô học bài.
thu_sau bo dang giat_do,Thứ sáu bố đang giặt đồ.
ban can nam bun,Bạn cần năm bún.
thu_ba ong dang tap_the_duc,Thứ ba ông đang tập thể dục.
cua mau_do,Cửa màu đỏ.
buoi_trua anh se di cho,Buổi trưa anh sẽ đi chợ.
thu_ba co_giao bi di_ung,Thứ ba cô giáo bị dị ứng.
buoi_toi anh dang mua_sam,Buổi tối anh đang mua sắm.
bo muon mot_tram sach,Bố muốn một trăm sách.
chu_nhat anh dang noi,Chủ nhật anh đang nói.
chi muon ba_muoi pho,Chị muốn ba mươi phở.
ban muon mua com,Bạn muốn mua cơm.
ngay_mai bao khong,Ngày mai có bão không?
me bi sot nen can giup_do,Mẹ bị sốt nên cần giúp đỡ.
mua_he em di_hoc,Mùa hè em đi học.
ngay bo bi dau_bung,Ngày bố bị đau bụng.
anh tim noi_com_dien,Anh tìm nồi cơm điện.
bo can tam tivi,Bố cần tám ti vi.
buoi_chieu con_gai dang uong,Buổi chiều con gái đang uống.
buoi_sang me se di benh_vien,Buổi sáng mẹ sẽ đi bệnh viện.
thu_hai chung_toi dang tam,Thứ hai chúng tôi đang tắm.
buoi_chieu me noi,Buổi chiều mẹ nói.
buoi_chieu ong bi dau_bung,Buổi chiều ông bị đau bụng.
ngay bo nghe,Ngày bố nghe.
buoi_toi con_trai dang lam_viec,Buổi tối con trai đang làm việc.
thay_giao can o,Thầy giáo cần ô.
em muon di giuong,Em muốn đi giường.
co bi dau_tay,Cô bị đau tay.
co bi dau can goi_bac_si,"Cô bị đau, cần gọi bác sĩ."
buoi_chieu chung_toi bi dau_bung,Buổi chiều chúng tôi bị đau bụng.
toi_nay co bi dau_lung,Tối nay cô bị đau lưng.
ban muon sac_pin,Bạn muốn sạc pin.
hom_qua ba dang di_bo,Hôm qua bà đang đi bộ.
dien_thoai lanh,Điện thoại lạnh.
thu_hai toi bi cam_lanh,Thứ hai tôi bị cảm lạnh.
buoi_trua nguoi_khiem_thinh dang uong,Buổi trưa người khiếm thính đang uống.
thu_tu benh_nhan dang lam_bai_tap,Thứ tư bệnh nhân đang làm bài tập.
chu_nhat anh dang tam,Chủ nhật anh đang tắm.
em muon giay,Em muốn giấy.
chi muon mua sach,Chị muốn mua sách.
anh khong muon ao,Anh không muốn áo.
thu_ba con_gai bi dau_lung,Thứ ba con gái bị đau lưng.
thu_nam chi di_hoc,Thứ năm chị đi học.
nam toi bi dau_dau,Năm tôi bị đau đầu.
buoi_trua chi dang xem,Buổi trưa chị đang xem.
ngay_mai bo dang lam_bai_tap,Ngày mai bố đang làm bài tập.
nam nguoi_khiem_thinh bi sot,Năm người khiếm thính bị sốt.
buoi_toi ba dang doc_sach,Buổi tối bà đang đọc sách.
toi_nay nguoi_khiem_thinh bi ho,Tối nay người khiếm thính bị ho.
mua_he bo nghe,Mùa hè bố nghe.
thu_bay chung_toi dang di_hoc,Thứ bảy chúng tôi đang đi học.
toi khong_thich sua,Tôi không thích sữa.
co khong lam_bai_tap,Cô không làm bài tập.
thu_tu co dang nghe,Thứ tư cô đang nghe.
ngay chi dang noi,Ngày chị đang nói.
ong khong muon xe_cuu_thuong,Ông không muốn xe cứu thương.
ban moi,Bàn mới.
me bi dau_tay nen can thuoc,Mẹ bị đau tay nên cần thuốc.
thang con_gai dang ngu,Tháng con gái đang ngủ.
ban bi dau_bung,Bạn bị đau bụng.
thay_giao den nha_ve_sinh,Thầy giáo đến nhà vệ sinh.
me bi dau_chan nen can thuoc,Mẹ bị đau chân nên cần thuốc.
thu_hai co_may,Thứ hai có mây.
anh can mot_tram but,Anh cần một trăm bút.
hom_qua me bi buon_non,Hôm qua mẹ bị buồn nôn.
mua_dong bo dang di_cho,Mùa đông bố đang đi chợ.
bay_gio chi dang mua_sam,Bây giờ chị đang mua sắm.
dien_thoai mau_xanh,Điện thoại màu xanh.
mua_he toi lam_viec,Mùa hè tôi làm việc.
ong can hai_muoi bun,Ông cần hai mươi bún.
buoi_chieu bo se di benh_vien,Buổi chiều bố sẽ đi bệnh viện.
em bi dau_dau nen can di_nha_ve_sinh,Em bị đau đầu nên cần đi nhà vệ sinh.
con_gai can chao khong,Con gái có cần cháo không?
bay_gio ban lam_bai_tap,Bây giờ bạn làm bài tập.
chu_nhat ong dang ngu,Chủ nhật ông đang ngủ.
hom_qua thay_giao dang giat_do,Hôm qua thầy giáo đang giặt đồ.
buoi_sang ba dang ngu,Buổi sáng bà đang ngủ.
anh can tam dien_thoai,Anh cần tám điện thoại.
toi can sach,Tôi cần sách.
ong muon nam nuoc,Ông muốn năm nước.
anh can hai_muoi may_tinh,Anh cần hai mươi máy tính.
bay_gio benh_nhan dang giat_do,Bây giờ bệnh nhân đang giặt đồ.
mua_dong ong dang noi,Mùa đông ông đang nói.
bo muon hai nuoc_cam,Bố muốn hai nước cam.
anh muon nam den,Anh muốn năm đèn.
thu_nam ban dang mua_sam,Thứ năm bạn đang mua sắm.
thu_nam chi bi chong_mat,Thứ năm chị bị chóng mặt.
em bi kho_tho nen can di_benh_vien,Em bị khó thở nên cần đi bệnh viện.
anh bi ho nen can goi_y_ta,Anh bị ho nên cần gọi y tá.
thu_hai anh dang ngu,Thứ hai anh đang ngủ.
toi_nay toi se di benh_vien,Tối nay tôi sẽ đi bệnh viện.
ngay_mai toi se di cho,Ngày mai tôi sẽ đi chợ.
chi muon mot sach,Chị muốn một sách.
buoi_chieu ban bi dau_tay,Buổi chiều bạn bị đau tay.
em cam_thay troi_mua,Em cảm thấy trời mưa.
bay_gio co_giao bi dau_dau,Bây giờ cô giáo bị đau đầu.
bay_gio ban dang lam_viec,Bây giờ bạn đang làm việc.
chu_nhat anh viet,Chủ nhật anh viết.
chung_toi thich o,Chúng tôi thích ô.
chi bi dau_bung nen can thuc_an,Chị bị đau bụng nên cần thức ăn.
mua_dong chi viet,Mùa đông chị viết.
mua_he thay_giao dang uong,Mùa hè thầy giáo đang uống.
bo can nguoi_phien_dich khong,Bố có cần người phiên dịch không?
buoi_chieu chi bi buon_non,Buổi chiều chị bị buồn nôn.
me muon tam banh_mi,Mẹ muốn tám bánh mì.
nguoi_khiem_thinh can ao_khoac,Người khiếm thính cần áo khoác.
me can o,Mẹ cần ô.
ngay_mai me dang choi,Ngày mai mẹ đang chơi.
me muon tam com,Mẹ muốn tám cơm.
thu_bay benh_nhan dang xem,Thứ bảy bệnh nhân đang xem.
me dang doc_sach,Mẹ đang đọc sách.
co thich giuong,Cô thích giường.
hom_qua em dang di_hoc,Hôm qua em đang đi học.
hom_nay con_gai bi di_ung,Hôm nay con gái bị dị ứng.
anh o cong_vien,Anh ở công viên.
bay_gio anh dang mua_sam,Bây giờ anh đang mua sắm.
thang chi nghi,Tháng chị nghỉ.
ngay ong lam_bai_tap,Ngày ông làm bài tập.
toi_nay nguoi_khiem_thinh dang di_hoc,Tối nay người khiếm thính đang đi học.
nam ban nghe,Năm bạn nghe.
chi da uong,Chị đã uống.
hom_nay toi xem,Hôm nay tôi xem.
thu_hai troi_mua khong,Thứ hai có mưa không?
ban can mot dien_thoai,Bạn cần một điện thoại.
bay_gio anh bi bi_thuong,Bây giờ anh bị bị thương.
benh_nhan can di_benh_vien,Bệnh nhân cần đi bệnh viện.
ban muon mua noi_com_dien,Bạn muốn mua nồi cơm điện.
me muon hai sach,Mẹ muốn hai sách.
thu_bay benh_nhan dang nghe,Thứ bảy bệnh nhân đang nghe.
me bi dau_dau can goi_bac_si,"Mẹ bị đau đầu, cần gọi bác sĩ."
thu_ba toi dang di_bo,Thứ ba tôi đang đi bộ.
con_gai can pho khong,Con gái có cần phở không?
co khong muon di_benh_vien,Cô không muốn đi bệnh viện.
buoi_chieu toi dang lam_bai_tap,Buổi chiều tôi đang làm bài tập.
mua_dong em doc_sach,Mùa đông em đọc sách.
buoi_chieu bo se di phong_kham,Buổi chiều bố sẽ đi phòng khám.
buoi_chieu me dang choi,Buổi chiều mẹ đang chơi.
tivi moi,Ti vi mới.
bay_gio ba bi bi_thuong,Bây giờ bà bị bị thương.
ngay_mai bo nghe,Ngày mai bố nghe.
thu_ba con_trai dang hoc_bai,Thứ ba con trai đang học bài.
mua_he ba dang chay,Mùa hè bà đang chạy.
buoi_chieu chi dang lam_viec,Buổi chiều chị đang làm việc.
thang toi dang an,Tháng tôi đang ăn.
toi_nay con_trai bi chong_mat,Tối nay con trai bị chóng mặt.
ngay em ngu,Ngày em ngủ.
ban cam_thay chay_mau,Bạn cảm thấy chảy máu.
chu_nhat co dang giat_do,Chủ nhật cô đang giặt đồ.
anh muon hai_muoi sua,Anh muốn hai mươi sữa.
thang anh an,Tháng anh ăn.
mua_he nguoi_khiem_thinh dang hoc_bai,Mùa hè người khiếm thính đang học bài.
ong muon hai_muoi but,Ông muốn hai mươi bút.
ong muon mot banh_mi,Ông muốn một bánh mì.
thu_bay ong dang di_hoc,Thứ bảy ông đang đi học.
ong can mot sach,Ông cần một sách.
buoi_toi toi dang rua_tay,Buổi tối tôi đang rửa tay.
thu_tu co_giao dang nau_an,Thứ tư cô giáo đang nấu ăn.
buoi_trua chi dang uong,Buổi trưa chị đang uống.
nam em ngu,Năm em ngủ.
buoi_toi ong dang noi,Buổi tối ông đang nói.
anh can sau vo,Anh cần sáu vở.
chi muon ca_phe o cho,Chị muốn cà phê ở chợ.
bay_gio co_giao dang rua_tay,Bây giờ cô giáo đang rửa tay.
ngay_mai ban dang choi,Ngày mai bạn đang chơi.
toi bi met nen can goi_bac_si,Tôi bị mệt nên cần gọi bác sĩ.
ong tim mu,Ông tìm mũ.
ban can bay sach,Bạn cần bảy sách.
thu_tu co bi dau_lung,Thứ tư cô bị đau lưng.
bo khong lam_bai_tap,Bố không làm bài tập.
ban tim mu,Bạn tìm mũ.
ba bi kho_tho,Bà bị khó thở.
nam co_giao dang mua_sam,Năm cô giáo đang mua sắm.
ba khong_thich com,Bà không thích cơm.
bay_gio co_giao dang di_hoc,Bây giờ cô giáo đang đi học.
thu_sau ban dang choi,Thứ sáu bạn đang chơi.
buoi_sang chi se di lop_hoc,Buổi sáng chị sẽ đi lớp học.
thu_hai ba bi dau,Thứ hai bà bị đau.
buoi_sang chi se di van_phong,Buổi sáng chị sẽ đi văn phòng.
ban can hai vo,Bạn cần hai vở.
nam con_gai bi dau_dau,Năm con gái bị đau đầu.
ong khong muon ao_khoac,Ông không muốn áo khoác.
thu_hai con_trai dang di_hoc,Thứ hai con trai đang đi học.
bo can hai_muoi banh_mi,Bố cần hai mươi bánh mì.
ngay_mai me bi dau_bung,Ngày mai mẹ bị đau bụng.
ngay_mai nguoi_khiem_thinh dang giat_do,Ngày mai người khiếm thính đang giặt đồ.
nam co_giao bi ho,Năm cô giáo bị ho.
toi den ban,Tôi đến bàn.
buoi_toi chi bi kho_tho,Buổi tối chị bị khó thở.
thu_ba chi noi,Thứ ba chị nói.
chung_toi den nha_ga,Chúng tôi đến nhà ga.
em bi chong_mat nen can nghi_ngoi,Em bị chóng mặt nên cần nghỉ ngơi.
chu_nhat co bi dau_chan,Chủ nhật cô bị đau chân.
banh_mi o_dau,Bánh mì ở đâu?
nam toi dang an,Năm tôi đang ăn.
thu_nam nguoi_khiem_thinh bi cam_lanh,Thứ năm người khiếm thính bị cảm lạnh.
hom_nay chi nghi,Hôm nay chị nghỉ.
ong can tivi khong,Ông có cần ti vi không?
buoi_toi thay_giao bi di_ung,Buổi tối thầy giáo bị dị ứng.
ong bi ho nen can nghi_ngoi,Ông bị ho nên cần nghỉ ngơi.
thu_nam ba dang nghi,Thứ năm bà đang nghỉ.
ngay co dang tam,Ngày cô đang tắm.
thu_hai co bi dau_dau,Thứ hai cô bị đau đầu.
mua_he ban xem,Mùa hè bạn xem.
thu_tu em bi bi_thuong,Thứ tư em bị bị thương.
toi can muoi but,Tôi cần mười bút.
chu_nhat co bi chay_mau,Chủ nhật cô bị chảy máu.
chi la y_ta,Chị là y tá.
ban o phong_kham,Bạn ở phòng khám.
me can bao_nhieu ghe,Mẹ cần bao nhiêu ghế?
thang con_trai dang chay,Tháng con trai đang chạy.
thu_sau con_trai bi dau_tay,Thứ sáu con trai bị đau tay.
buoi_chieu me dang doc_sach,Buổi chiều mẹ đang đọc sách.
em thich ban_phim,Em thích bàn phím.
em can hai_muoi chao,Em cần hai mươi cháo.
thu_bay con_gai dang choi,Thứ bảy con gái đang chơi.
nguoi_khiem_thinh muon tra,Người khiếm thính muốn trà.
con_gai can sua khong,Con gái có cần sữa không?
me cam_thay ho,Mẹ cảm thấy ho.
ban khong viet,Bạn không viết.
bay_gio ong bi cam_lanh,Bây giờ ông bị cảm lạnh.
buoi_toi em dang di_cho,Buổi tối em đang đi chợ.
thu_sau con_gai bi dau_dau,Thứ sáu con gái bị đau đầu.
toi muon ba bun,Tôi muốn ba bún.
toi_nay me se di sieu_thi,Tối nay mẹ sẽ đi siêu thị.
thu_tu co dang uong,Thứ tư cô đang uống.
anh di sieu_thi,Anh đi siêu thị.
toi_nay thay_giao dang an,Tối nay thầy giáo đang ăn.
anh bi dau_hong nen can giup_do,Anh bị đau họng nên cần giúp đỡ.
ngay_mai chung_toi dang rua_tay,Ngày mai chúng tôi đang rửa tay.
mua_he benh_nhan bi di_ung,Mùa hè bệnh nhân bị dị ứng.
thang ba bi kho_tho,Tháng bà bị khó thở.
buoi_toi ban se di cong_ty,Buổi tối bạn sẽ đi công ty.
bo thich xe_cuu_thuong,Bố thích xe cứu thương.
y_ta dang xem,Y tá đang xem.
toi bi dau_lung nen can goi_y_ta,Tôi bị đau lưng nên cần gọi y tá.
thu_nam co bi chong_mat,Thứ năm cô bị chóng mặt.
ba can thit,Bà cần thịt.
toi muon mot_tram sach,Tôi muốn một trăm sách.
chi muon mot_tram nuoc,Chị muốn một trăm nước.
me muon mua dong_ho,Mẹ muốn mua đồng hồ.
hom_nay con_gai dang lam_viec,Hôm nay con gái đang làm việc.
em den nha_bep,Em đến nhà bếp.
hom_nay ban dang tam,Hôm nay bạn đang tắm.
thu_hai co dang uong,Thứ hai cô đang uống.
thu_hai con_trai dang noi,Thứ hai con trai đang nói.
thang anh dang doc_sach,Tháng anh đang đọc sách.
hom_qua ban an,Hôm qua bạn ăn.
anh khong muon nghi_ngoi,Anh không muốn nghỉ ngơi.
toi can muoi banh_mi,Tôi cần mười bánh mì.
chi can hai_muoi but,Chị cần hai mươi bút.
ngay_mai nguoi_khiem_thinh bi dau_lung,Ngày mai người khiếm thính bị đau lưng.
bo di cong_ty,Bố đi công ty.
hom_nay ban bi dau_bung,Hôm nay bạn bị đau bụng.
ao uot,Áo ướt.
chung_toi can but,Chúng tôi cần bút.
me di cong_ty,Mẹ đi công ty.
buoi_trua chung_toi dang lam_viec,Buổi trưa chúng tôi đang làm việc.
anh mat may_tinh,Anh mất máy tính.
co_giao muon nghi_ngoi,Cô giáo muốn nghỉ ngơi.
toi muon hai nuoc,Tôi muốn hai nước.
chu_nhat ong dang chay,Chủ nhật ông đang chạy.
ngay thay_giao bi kho_tho,Ngày thầy giáo bị khó thở.
chu_nhat toi bi buon_non,Chủ nhật tôi bị buồn nôn.
em muon banh_mi o truong,Em muốn bánh mì ở trường.
nam chung_toi bi dau_lung,Năm chúng tôi bị đau lưng.
mua_he ba dang nau_an,Mùa hè bà đang nấu ăn.
ngay chi bi chong_mat,Ngày chị bị chóng mặt.
ngay_mai ban bi chay_mau,Ngày mai bạn bị chảy máu.
bay_gio con_trai dang xem,Bây giờ con trai đang xem.
thu_sau anh ngu,Thứ sáu anh ngủ.
chi muon noi_com_dien,Chị muốn nồi cơm điện.
buoi_toi chi dang nghe,Buổi tối chị đang nghe.
co thich ba_lo,Cô thích ba lô.
em bi dau_dau nen can di_benh_vien,Em bị đau đầu nên cần đi bệnh viện.
ong can nghi_ngoi,Ông cần nghỉ ngơi.
bo o benh_vien,Bố ở bệnh viện.
chi thich sua,Chị thích sữa.
mua_he me bi dau_lung,Mùa hè mẹ bị đau lưng.
mua_he chung_toi dang uong,Mùa hè chúng tôi đang uống.
toi_nay anh se di van_phong,Tối nay anh sẽ đi văn phòng.
mua_dong chi dang lam_viec,Mùa đông chị đang làm việc.
em can ba_muoi sua,Em cần ba mươi sữa.
bay_gio co_giao dang tam,Bây giờ cô giáo đang tắm.
buoi_sang anh se di cong_ty,Buổi sáng anh sẽ đi công ty.
bo thich di_benh_vien,Bố thích đi bệnh viện.
thang con_gai bi dau_chan,Tháng con gái bị đau chân.
benh_nhan di benh_vien,Bệnh nhân đi bệnh viện.
anh muon ban_phim,Anh muốn bàn phím.
toi muon chao o sieu_thi,Tôi muốn cháo ở siêu thị.
hom_qua co dang doc_sach,Hôm qua cô đang đọc sách.
chi can tam tivi,Chị cần tám ti vi.
ban co goi_y_ta khong,Bạn có gọi y tá không?
thang ban bi cam_lanh,Tháng bạn bị cảm lạnh.
co khong_thich thit,Cô không thích thịt.
buoi_chieu anh viet,Buổi chiều anh viết.
mua_dong em an,Mùa đông em ăn.
mua_dong ba dang hoc_bai,Mùa đông bà đang học bài.
mua_he con_gai dang lam_bai_tap,Mùa hè con gái đang làm bài tập.
buoi_chieu anh se di cho,Buổi chiều anh sẽ đi chợ.
ba khong muon kinh,Bà không muốn kính.
buoi_chieu benh_nhan dang nghi,Buổi chiều bệnh nhân đang nghỉ.
co thich den,Cô thích đèn.
buoi_chieu em viet,Buổi chiều em viết.
toi_nay am_uot khong,Tối nay có ẩm ướt không?
mua_dong em dang ngu,Mùa đông em đang ngủ.
thu_ba chung_toi bi chay_mau,Thứ ba chúng tôi bị chảy máu.
thu_tu co bi buon_non,Thứ tư cô bị buồn nôn.
buoi_toi em se di sieu_thi,Buổi tối em sẽ đi siêu thị.
ngay_mai troi_lanh,Ngày mai trời lạnh.
buoi_chieu nguoi_khiem_thinh dang giat_do,Buổi chiều người khiếm thính đang giặt đồ.
anh bi dau_dau nen can di_nha_ve_sinh,Anh bị đau đầu nên cần đi nhà vệ sinh.
giay mau_gi,Giày màu gì?
buoi_trua toi viet,Buổi trưa tôi viết.
chi thich kinh,Chị thích kính.
thu_ba toi dang choi,Thứ ba tôi đang chơi.
ban can com,Bạn cần cơm.
co o ben_xe,Cô ở bến xe.
thu_hai anh an,Thứ hai anh ăn.
mua_dong co_giao dang ngu,Mùa đông cô giáo đang ngủ.
ba thich cua,Bà thích cửa.
thu_hai thay_giao bi dau,Thứ hai thầy giáo bị đau.
buoi_chieu toi dang noi,Buổi chiều tôi đang nói.
mua_dong toi bi dau_dau,Mùa đông tôi bị đau đầu.
ban bi dau_bung nen can goi_bac_si,Bạn bị đau bụng nên cần gọi bác sĩ.
ngay chung_toi bi chong_mat,Ngày chúng tôi bị chóng mặt.
toi bi dau_hong nen can nuoc,Tôi bị đau họng nên cần nước.
hom_qua ban bi dau_dau,Hôm qua bạn bị đau đầu.
toi_nay em ngu,Tối nay em ngủ.
chi can tam bun,Chị cần tám bún.
nguoi_khiem_thinh can giay,Người khiếm thính cần giày.
toi bi dau_chan nen can di_nha_ve_sinh,Tôi bị đau chân nên cần đi nhà vệ sinh.
ban muon ba nuoc,Bạn muốn ba nước.
bay_gio ban hoc_bai,Bây giờ bạn học bài.
ngay nguoi_khiem_thinh bi dau_chan,Ngày người khiếm thính bị đau chân.
chu_nhat chi hoc_bai,Chủ nhật chị học bài.
bo can muoi sach,Bố cần mười sách.
thu_nam ba bi buon_non,Thứ năm bà bị buồn nôn.
dong_ho kho,Đồng hồ khó.
bo di sieu_thi,Bố đi siêu thị.
thu_sau bo bi dau_tay,Thứ sáu bố bị đau tay.
buoi_trua em se di phong_kham,Buổi trưa em sẽ đi phòng khám.
ong muon sau nuoc_cam,Ông muốn sáu nước cam.
ngay_mai benh_nhan bi met,Ngày mai bệnh nhân bị mệt.
thu_sau chi bi dau_dau,Thứ sáu chị bị đau đầu.
thu_sau ong bi bi_thuong,Thứ sáu ông bị bị thương.
bay_gio em dang tap_the_duc,Bây giờ em đang tập thể dục.
thu_ba con_gai dang mua_sam,Thứ ba con gái đang mua sắm.
toi can ba chao,Tôi cần ba cháo.
em can ba tivi,Em cần ba ti vi.
thu_bay con_trai dang viet,Thứ bảy con trai đang viết.
hom_nay con_gai dang rua_tay,Hôm nay con gái đang rửa tay.
buoi_sang bo se di lop_hoc,Buổi sáng bố sẽ đi lớp học.
anh muon thit o sieu_thi,Anh muốn thịt ở siêu thị.
thu_ba co_giao dang nghe,Thứ ba cô giáo đang nghe.
thay_giao o cong_vien,Thầy giáo ở công viên.
thu_sau thay_giao dang di_cho,Thứ sáu thầy giáo đang đi chợ.
ngay_mai ban nghi,Ngày mai bạn nghỉ.
thu_sau ong dang di_bo,Thứ sáu ông đang đi bộ.
bo muon nuoc_cam o truong,Bố muốn nước cam ở trường.
buoi_sang toi dang nau_an,Buổi sáng tôi đang nấu ăn.
toi bi dau_tay can goi_bac_si,"Tôi bị đau tay, cần gọi bác sĩ."
hom_qua anh dang chay,Hôm qua anh đang chạy.
buoi_trua me doc_sach,Buổi trưa mẹ đọc sách.
co_giao se xem,Cô giáo sẽ xem.
bo muon di cong_vien,Bố muốn đi công viên.
thu_bay nguoi_khiem_thinh bi dau_lung,Thứ bảy người khiếm thính bị đau lưng.
buoi_toi ong xem,Buổi tối ông xem.
nam em dang di_cho,Năm em đang đi chợ.
ngay benh_nhan dang tam,Ngày bệnh nhân đang tắm.
ong muon com o cho,Ông muốn cơm ở chợ.
thu_bay toi dang uong,Thứ bảy tôi đang uống.
hom_nay con_trai bi sot,Hôm nay con trai bị sốt.
ban cam_thay gio_manh,Bạn cảm thấy gió mạnh.
thu_sau con_gai bi dau,Thứ sáu con gái bị đau.
em can tam dien_thoai,Em cần tám điện thoại.
bay_gio me bi dau_hong,Bây giờ mẹ bị đau họng.
hom_nay toi se di van_phong,Hôm nay tôi sẽ đi văn phòng.
buoi_chieu chi dang rua_tay,Buổi chiều chị đang rửa tay.
em can sau sua,Em cần sáu sữa.
ban muon com o phong_kham,Bạn muốn cơm ở phòng khám.
bay_gio con_gai dang nghi,Bây giờ con gái đang nghỉ.
hom_qua chi se di van_phong,Hôm qua chị sẽ đi văn phòng.
toi can bon pho,Tôi cần bốn phở.
thu_nam con_gai bi kho_tho,Thứ năm con gái bị khó thở.
chung_toi den cong_vien,Chúng tôi đến công viên.
buoi_trua ban dang di_bo,Buổi trưa bạn đang đi bộ.
thu_ba anh dang hoc_bai,Thứ ba anh đang học bài.
thay_giao can quan khong,Thầy giáo có cần quần không?
anh muon pho o truong,Anh muốn phở ở trường.
thu_bay con_trai dang mua_sam,Thứ bảy con trai đang mua sắm.
mua_dong co_giao bi dau_bung,Mùa đông cô giáo bị đau bụng.
thu_bay anh bi dau,Thứ bảy anh bị đau.
co can di_benh_vien,Cô cần đi bệnh viện.
hom_qua ong bi dau,Hôm qua ông bị đau.
thu_bay co dang choi,Thứ bảy cô đang chơi.
bay_gio ba dang di_bo,Bây giờ bà đang đi bộ.
toi den cho,Tôi đến chợ.
me muon mot_tram banh_mi,Mẹ muốn một trăm bánh mì.
may_tinh nhanh,Máy tính nhanh.
